id,first_token,second_token,prompt
0,17,,0
1,18,,1
2,19,,2
3,20,,3
4,21,,4
5,22,,5
6,23,,6
7,24,,7
8,25,,8
9,26,,9
10,34,,A
11,35,,B
12,36,,C
13,37,,D
14,38,,E
15,39,,F
16,40,,G
17,41,,H
18,42,,I
19,43,,J
20,44,,K
21,45,,L
22,46,,M
23,47,,N
24,48,,O
25,49,,P
26,50,,Q
27,51,,R
28,52,,S
29,53,,T
30,54,,U
31,55,,V
32,56,,W
33,57,,X
34,58,,Y
35,59,,Z
36,66,,a
37,67,,b
38,68,,c
39,69,,d
40,70,,e
41,71,,f
42,72,,g
43,73,,h
44,74,,i
45,75,,j
46,76,,k
47,77,,l
48,78,,m
49,79,,n
50,80,,o
51,81,,p
52,82,,q
53,83,,r
54,84,,s
55,85,,t
56,86,,u
57,87,,v
58,88,,w
59,89,,x
60,90,,y
61,91,,z
62,248,,he
63,249,,in
64,250,,re
65,251,,on
66,254,,er
67,255,,at
68,257,,en
69,261,,is
70,262,,it
71,263,,or
72,264,,ed
73,265,,es
74,266,,an
75,267,,al
76,272,,ing
77,274,,ar
78,276,,ou
79,279,,ion
80,280,,ic
81,282,,le
82,284,,as
83,287,,ro
84,290,,ent
85,291,,ct
86,292,,et
87,293,,el
88,296,,st
89,297,,om
90,300,,il
91,301,,id
92,302,,ot
93,303,,im
94,304,,ig
95,306,,ve
96,307,,ut
97,311,,ol
98,312,,am
99,314,,ly
100,316,,us
101,317,,ac
102,318,,ation
103,319,,ow
104,321,,ur
105,324,,ad
106,328,,un
107,332,,ver
108,333,,ay
109,334,,ith
110,335,,ul
111,336,,ce
112,338,,if
113,339,,se
114,343,,ir
115,348,,ch
116,350,,ter
117,351,,od
118,356,,ag
119,357,,ab
120,358,,em
121,360,,um
122,361,,00
123,363,,ri
124,365,,pe
125,366,,ate
126,371,,qu
127,373,,res
128,375,,os
129,376,,ra
130,377,,pp
131,379,,her
132,382,,ist
133,383,,est
134,384,,ht
135,386,,ant
136,392,,ld
137,394,,th
138,395,,and
139,398,,ers
140,400,,iv
141,404,,ain
142,405,,ess
143,406,,oc
144,408,,ill
145,409,,rom
146,410,,ore
147,412,,op
148,413,,ke
149,414,,ity
150,415,,oun
151,420,,ment
152,421,,ction
153,422,,ive
154,423,,end
155,429,,ight
156,430,,ort
157,431,,pt
158,433,,red
159,435,,art
160,437,,ell
161,438,,ud
162,442,,te
163,445,,ren
164,446,,pl
165,447,,ies
166,450,,ould
167,451,,ial
168,453,,fe
169,454,,our
170,455,,all
171,456,,ated
172,459,,ure
173,460,,ine
174,461,,ust
175,462,,og
176,463,,ge
177,466,,ie
178,468,,per
179,469,,ich
180,471,,ack
181,472,,ard
182,474,,ical
183,478,,iz
184,482,,ame
185,483,,out
186,484,,up
187,485,,ome
188,486,,age
189,487,,ib
190,489,,ue
191,491,,der
192,493,,ost
193,494,,able
194,498,,cl
195,503,,ult
196,504,,ide
197,505,,ast
198,506,,ath
199,507,,ans
200,508,,ther
201,510,,The
202,511,,ase
203,514,,act
204,515,,ass
205,517,,ound
206,518,,ak
207,520,,01
208,522,,ap
209,525,,ign
210,526,,orm
211,527,,ind
212,528,,ous
213,529,,oug
214,531,,one
215,532,,ip
216,536,,ok
217,538,,ub
218,539,,ition
219,543,,ong
220,545,,ph
221,547,,ice
222,550,,cc
223,552,,ary
224,553,,ime
225,554,,ep
226,555,,ty
227,560,,ress
228,561,,ens
229,563,,du
230,565,,int
231,566,,ence
232,567,,ff
233,569,,ations
234,570,,ne
235,571,,ia
236,579,,ru
237,580,,av
238,583,,ose
239,584,,ace
240,585,,con
241,587,,ile
242,589,,ber
243,590,,ory
244,592,,ents
245,593,,ance
246,595,,ally
247,600,,ely
248,601,,so
249,602,,ough
250,603,,ire
251,606,,ang
252,607,,ach
253,609,,are
254,610,,ry
255,613,,ear
256,614,,ite
257,615,,de
258,620,,ll
259,621,,ions
260,624,,rent
261,628,,own
262,630,,form
263,631,,port
264,633,,xt
265,635,,very
266,636,,ord
267,640,,ake
268,641,,ors
269,645,,ook
270,646,,ect
271,647,,ail
272,649,,ft
273,652,,vel
274,656,,ys
275,658,,ree
276,661,,ks
277,662,,urn
278,663,,lic
279,664,,we
280,666,,aus
281,675,,reat
282,676,,low
283,677,,erv
284,678,,eth
285,679,,math
286,680,,wo
287,681,,com
288,682,,ata
289,684,,ates
290,688,,In
291,692,,ific
292,693,,erm
293,695,,ric
294,698,,ays
295,699,,fter
296,700,,hat
297,702,,ount
298,706,,ob
299,707,,ces
300,709,,ref
301,710,,ove
302,712,,irst
303,713,,ple
304,719,,cre
305,720,,ject
306,723,,ings
307,725,,rib
308,727,,ater
309,728,,ied
310,729,,ov
311,732,,lect
312,735,,vers
313,736,,row
314,737,,gr
315,738,,fect
316,739,,iss
317,740,,10
318,741,,clud
319,742,,hed
320,744,,old
321,746,,19
322,750,,ink
323,757,,ian
324,758,,ced
325,763,,ish
326,766,,ause
327,770,,itt
328,777,,ck
329,780,,ual
330,781,,ick
331,782,,ark
332,783,,the
333,784,,ious
334,785,,ma
335,786,,ild
336,788,,get
337,790,,ons
338,792,,ular
339,793,,ps
340,796,,ade
341,797,,ert
342,798,,igh
343,800,,ative
344,804,,ring
345,805,,12
346,808,,pect
347,813,,elf
348,814,,ug
349,825,,ock
350,827,,iew
351,829,,cess
352,832,,ef
353,833,,ased
354,834,,ont
355,836,,ood
356,837,,oth
357,839,,ating
358,842,,oint
359,850,,ient
360,852,,stem
361,853,,ode
362,855,,ween
363,856,,pro
364,857,,ond
365,859,,ss
366,862,,olog
367,864,,hen
368,868,,les
369,874,,ility
370,879,,ople
371,881,,type
372,882,,ict
373,883,,11
374,885,,ise
375,886,,ec
